axis_offset_m,mass_inertia_kg_m2
0.0,0.00030987692307692306
0.0032,0.0003107395406769231
0.0064,0.00031332739347692304
0.0096,0.00031764048147692306
0.0128,0.00032367880467692306
0.016,0.00033144236307692306
0.0192,0.00034093115667692306
0.022400000000000003,0.0003521451854769231
0.0256,0.0003650844494769231
0.0288,0.00037974894867692305
0.032,0.0003961386830769231
0.0352,0.0004142536526769231
0.0384,0.00043409385747692305
0.0416,0.00045565929747692305
0.044800000000000006,0.00047894997267692316
0.048,0.0005039658830769231
0.0512,0.0005307070286769231
0.054400000000000004,0.0005591734094769231
0.0576,0.0005893650254769231
0.0608,0.0006212818766769231
0.064,0.0006549239630769231
0.0672,0.0006902912846769231
0.0704,0.0007273838414769231
0.0736,0.000766201633476923
0.0768,0.000806744660676923
0.08,0.0008490129230769232
0.0832,0.000893006420676923
0.0864,0.0009387251534769233
0.08960000000000001,0.0009861691214769234
0.0928,0.0010353383246769232
0.096,0.0010862327630769232
0.0992,0.0011388524366769232
0.1024,0.0011931973454769231
0.1056,0.001249267489476923
0.10880000000000001,0.0013070628686769233
0.11200000000000002,0.0013665834830769235
0.1152,0.0014278293326769232
0.1184,0.0014908004174769233
0.1216,0.0015554967374769232
0.12480000000000001,0.0016219182926769232
0.128,0.001690065083076923
0.1312,0.0017599371086769234
0.1344,0.001831534369476923
0.1376,0.0019048568654769231
0.1408,0.0019799045966769234
0.14400000000000002,0.0020566775630769234
0.1472,0.0021351757646769234
0.1504,0.0022153992014769235
0.1536,0.002297347873476923
0.1568,0.0023810217806769234
0.16,0.0024664209230769235
