time_s,numerical_displacement_mm,exact_displacement_mm,velocity_m_per_s,mount_load_N,energy_J,damping_power_W
0.0,10.0,10.0,0.0,40.0,0.2,0.0
0.002,9.992011722666666,9.992011720913442,-0.007981892245333333,39.808409045759994,0.19999914955089673,0.0012742120763222478
0.004,9.96810217563678,9.968102171473747,-0.015919176874978506,39.55402516504755,0.1999932229297537,0.005068403847537009
0.006,9.928373090557562,9.928373083342034,-0.02379935936341425,39.23750517496196,0.19997723198115971,0.01132819012217867
0.008,9.87295105029926,9.872951039404448,-0.03161008623217557,38.85960247655353,0.1999463126412384,0.019983951032111515
0.01,9.80198718764771,9.801987172464656,-0.03933916421024872,38.421165466385865,0.19989575485742428,0.03095139681521827
0.012,9.715656846003519,9.715656825942999,-0.04697457906219177,37.92313580277024,0.1998210312889406,0.044132221561402105
0.014,9.614159202781304,9.614159177275635,-0.054504514055246596,37.36654653002028,0.19971782461484175,0.05941484104797148
0.016,9.497716856259133,9.497716824763954,-0.06191736803739881,36.75252006428856,0.1995820532867312,0.0766752092935739
0.018000000000000002,9.366575376683715,9.366575338679668,-0.06920177309907559,36.08226604475335,0.19940989557447503,0.09577770800111884
0.02,9.221002822490755,9.221002777485117,-0.07634661179194498,35.35707905412412,0.1991978117653147,0.11657610264219903
0.022,9.061289222552103,9.061289170080338,-0.08334103387909331,34.578336212626546,0.19894256438965868,0.13891455856072357
0.024,8.887746025411975,8.887745965039189,-0.09017447259170833,33.74749464981373,0.19864123636041647,0.1626287101438551
0.026000000000000002,8.700705516523358,8.70070544784571,-0.09683666036828277,32.86608885872778,0.19829124692693073,0.18754677582564294
0.028,8.5005202045428,8.500520127188787,-0.10331764405327509,31.9357279371057,0.197890365359277,0.21349071145438497
0.03,8.287562177786915,8.287562091418593,-0.10960779953311915,30.95809272048528,0.19743672229383058,0.24027739436984868
0.032,8.062222431997212,8.062222336311322,-0.11569784578846125,29.93493281221962,0.19692881868645085,0.2677198304018112
0.034,7.824910170601057,7.824910065330058,-0.12157885834251926,28.868063515553843,0.19636553233530354,0.2956283759174073
0.036000000000000004,7.5760520786957795,7.576051963608785,-0.12724228208650298,27.759362673053058,0.19574612195112728,0.32381196701162396
0.038,7.316091572019946,7.316091446923558,-0.1326799434641056,26.61076741879767,0.1950702287685539,0.35207934795276524
0.04,7.045488022210758,7.045487886949812,-0.13788406199817113,25.424270848879612,0.19433787570780803,0.38024029106231
0.042,6.764715959679183,6.764715814137386,-0.1428472611437605,24.20191861584152,0.19354946411164506,0.40810680032547425
0.044,6.474264255464846,6.474264099565322,-0.14756257845297752,22.945805452799835,0.1927057680976353,0.4354942911938229
0.046,6.17463528346085,6.17463511716656,-0.15202347503807287,21.658071633081942,0.1918079265807771,0.4622227392530313
