reference_x_m,moment_about_reference_Nm
-0.2,-260.0
-0.192,-253.6
-0.184,-247.2
-0.17600000000000002,-240.8
-0.168,-234.4
-0.16,-228.0
-0.152,-221.6
-0.14400000000000002,-215.20000000000002
-0.136,-208.8
-0.128,-202.4
-0.12000000000000001,-196.0
-0.112,-189.60000000000002
-0.104,-183.2
-0.096,-176.8
-0.088,-170.39999999999998
-0.08000000000000002,-164.0
-0.07200000000000001,-157.60000000000002
-0.064,-151.2
-0.055999999999999994,-144.8
-0.04799999999999999,-138.39999999999998
-0.04000000000000001,-132.0
-0.032,-125.6
-0.023999999999999994,-119.19999999999999
-0.015999999999999986,-112.79999999999998
-0.00799999999999998,-106.39999999999998
0.0,-100.0
0.008000000000000007,-93.6
0.016000000000000014,-87.19999999999999
0.02400000000000002,-80.79999999999998
0.03200000000000003,-74.39999999999998
0.03999999999999998,-68.00000000000001
0.04799999999999999,-61.60000000000001
0.055999999999999994,-55.2
0.064,-48.8
0.07200000000000001,-42.39999999999999
0.08000000000000002,-35.999999999999986
0.08800000000000002,-29.59999999999998
0.09600000000000003,-23.199999999999974
0.10400000000000004,-16.79999999999997
0.11200000000000004,-10.399999999999963
0.12,-4.0
0.12800000000000006,2.4000000000000483
0.136,8.800000000000011
0.14399999999999996,15.199999999999974
0.15200000000000002,21.600000000000023
0.15999999999999998,27.999999999999986
0.16800000000000004,34.400000000000034
0.176,40.79999999999998
0.18400000000000005,47.200000000000045
0.192,53.599999999999994
0.2,60.0
