time_s,angle_deg,omega_rad_per_s,alpha_rad_per_s2,actuator_length_m,moment_arm_m,actuator_force_N,quasistatic_force_N,pivot_load_on_mount_x_N,pivot_load_on_mount_y_N,fixed_anchor_load_on_mount_x_N,fixed_anchor_load_on_mount_y_N,center_acceleration_x_m_per_s2,center_acceleration_y_m_per_s2
0.0,10.0,0.0,0.0,0.17363948436500254,0.03322381600911348,130.8529346683074,130.8529346683074,-119.88743583813269,27.910610413782234,119.88743583813269,-52.435610413782236,-0.0,0.0
0.006,10.0000868450625,0.0007559648218087376,0.2507220012028979,0.1736394340065513,0.0332238699481443,131.6450636456721,130.85268725582367,-120.59361501543145,28.116870319161638,120.6132072754804,-52.75298108159443,-0.007836904019583426,0.04444430497311486
0.012,10.000689542,0.002993545099789374,0.4938845450830953,0.17363908452116786,0.03322424427936604,132.41181470077734,130.8509702524378,-121.27726561368267,28.31599694545339,121.3158651871232,-53.059867378770775,-0.015439829376209005,0.08754817332695278
0.018,10.0023096626875,0.0066676131644700315,0.7295639897953671,0.17363814504358227,0.03322525051896691,133.15195733971092,130.84635489181414,-121.93737678373381,28.507153352520273,121.9944188743562,-53.35546370245807,-0.022816836248957494,0.1293241399751159
0.024,10.005433344,0.011733499495307479,0.957836693494488,0.1736363335990902,0.03322719057507908,133.86428067902256,130.83745683155732,-122.57294589223152,28.689515259487667,122.64789412492301,-53.63897564676084,-0.02997929307659798,0.16978415490926876
0.03,10.0105314453125,0.01814699272068714,1.1787790143352326,0.17363337694754818,0.03323035682233418,134.54759666478557,130.8229361934297,-123.1829820407958,28.86227302480263,123.27533576663019,-53.90962214572092,-0.03694149033375561,0.20893964836731274
0.036,10.018059705999999,0.02586433961792307,1.3924673104723757,0.1736290104062466,0.033235032168802886,135.20074331939225,130.8014977625655,-123.76650954796389,29.02463367234218,123.87581022922967,-54.16663764872311,-0.043720272506310595,0.24680159055236997
0.042,10.0284589029375,0.034842245113258,1.5989779400606925,0.17362297765432694,0.033241490116255226,135.82258800275386,130.7718913246205,-124.32257138608031,29.175822953752704,124.44840810544248,-54.4092743177765,-0.05033468774486764,0.2833805456095185
0.048,10.042155008,0.045037872281863275,1.7983872612549572,0.17361503052128519,0.03324999481462247,136.41203067308402,130.73291212029773,-124.85023256401698,29.315087436005417,124.99224670077706,-54.636804235300005,-0.056805654704031844,0.3186867197178357
0.05399999999999999,10.0595593455625,0.056408842347838925,1.9907716322099442,0.17360492876198358,0.03326080111148544,136.96800713110798,130.68340139712694,-125.34858344545013,29.44169660209859,125.50647256070027,-54.848521610317206,-0.0631556461000591,0.3527300032874454
0.06,10.08106875,0.0689132346842136,2.1762074110804295,0.17359243982047504,0.0332741545973599,137.489492230383,130.62224703877789,-125.81674299141513,29.55494495193498,125.99026396276648,-55.043744970350424,-0.06940838854053784,0.3855200073661752
0.066,10.1070657231875,0.08250958681294464,2.354770956021187,0.17357733858483065,0.033290291647495564,137.97550303544966,130.54838425258296,-126.25386191501495,29.65415408965838,126.44283336050863,-55.22181932580661,-0.07558857819747374,0.4170660944592901
0.072,10.137918592,0.09715689440491794,2.526538625186991,0.17355940713504997,0.03330943946085373,138.4251019087752,130.46079629635543,-126.65912573548219,29.73867478315263,126.86342976525692,-55.38211829327697,-0.08172161190989018,0.4473774040497338
0.078,10.1739816658125,0.11281461127994817,2.691586776732618,0.1735384344860247,0.033331816096877756,138.83739950691447,130.3585152260367,-127.031757718302,29.807888980996818,127.25134105158759,-55.524046163937875,-0.08783333331423399,0.47646287317642255
0.084,10.215595394000001,0.12944264940677858,2.8499917688128407,0.17351421632742106,0.03335763051062292,139.21155766600882,130.24062264620727,-127.37102168779525,29.861211771934347,127.60589617182251,-55.64703990314803,-0.09394979361090398,0.5043312524854723
0.09,10.263086523437499,0.14700137890308101,3.0018299595824347,0.1734865547622421,0.033387082586765655,139.54679215668412,130.10625044606772,-127.67622469845182,29.898093271857245,127.92646726491058,-55.75057106739412,-0.10009702658350492,0.5309911182147485
0.096,10.316768256,0.16545162803545607,3.1471777071961746,0.17345525804572895,0.03342036317296888,139.84237528859464,129.954581504149,-127.94671955138897,29.91802042342852,128.21247164512485,-55.834147624945466,-0.10630083749435379,0.5564508806067776
0.102,10.3769404060625,0.18475468321943292,3.286111369808836,0.1734201403261612,0.03345765411303848,140.09763834530187,129.78485034575516,-128.18190714259748,29.92051869376836,128.46337365631172,-55.89731566694269,-0.11258660548569728,0.5807187892697286
0.10799999999999998,10.443889557999999,0.2048722890194695,3.418707305575192,0.17338102138901937,0.03349912828026753,140.31197383086908,129.5963437379857,-128.38123863012336,29.905153656108805,128.67868637792677,-55.93966099616317,-0.1189790991213644,0.6038029360217463
0.114,10.517889223687499,0.2257666481489522,3.5450418726500192,0.1733377264058749,0.03354494961132819,140.48483751049417,129.38840120812606,-128.54421740801445,29.871532441974,128.85797316978565,-55.96081058137696,-0.12550230470848078,0.6257112557611848
0.12,10.5992,0.24740042147019625,3.6651914291880914,0.17329008568928092,0.0335952731410381,140.61575022868425,129.16041547224066,-128.6704008757288,29.819305051261335,129.00084904333795,-55.960433866024,-0.13217926704366384,0.6464515259050638
0.126,10.6880697263125,0.26973672799444537,3.7792323333441837,0.1732379344548443,0.03365024503829616,140.7042994898885,128.9118327619484,-128.75940199275118,29.74816550857376,129.10698184833376,-55.93824392090142,-0.13903194223303325,0.6660313649310631
0.132,10.784733641999999,0.2927391448818721,3.887240943273071,0.17318111259156843,0.03371000264345454,140.7501407881291,128.6421530385961,-128.81089060937632,29.657852855274587,129.17609326497777,-55.89399843163789,-0.14608106224058207,0.684458230545321
0.13799999999999998,10.8894145439375,0.3163717074415773,3.989293617129526,0.17311946444146864,0.03377467450736707,140.75299867398996,128.35093008537237,-128.82459456598298,29.5481519679882,129.20795959304576,-55.82750051293782,-0.15334601082510976,0.7017394179798467
0.144,11.002322944,0.34059890913159097,4.085466713068325,0.17305283858937442,0.03384438043233038,140.71266754931423,128.03777146930238,-128.80030055461918,29.418894195638966,129.2024123309495,-55.73859934288937,-0.16084471053212557,0.7178820589001622
0.15,11.1236572265625,0.3653857015588715,4.175836589244245,0.17298108766374876,0.03391923151511264,140.62901218209808,127.70233836652861,-128.737854738328,29.269957808587417,129.15933853936286,-55.62719061202848,-0.1685935204139488,0.7328931213764233
0.156,11.253603806,0.3906974944793057,4.260479603812058,0.1729040681492692,0.03399933019224517,140.5019679363216,127.34434524579278,-128.63716312534382,29.10126825496923,129.0786809857406,-55.49321678332005,-0.17660714415870848,0.746779411340327
0.162,11.3923372841875,0.4165001557977096,4.33947211492654,0.17282164021183694,0.03408477028773478,140.3315407137999,126.96355940658108,-128.49819169705253,28.912798220948172,128.9604380678452,-55.33666716073844,-0.18489854831706462,0.7595475759161074
0.168,11.540020608,0.4427600115678272,4.412890480742462,0.17273366753659797,0.03417563706333954,140.1178066075302,126.55980036995223,-128.32096629041567,28.704567493236087,128.8046635162262,-55.15757776567946,-0.19347889032421448,0.7712041089773505
0.174,11.6968052268125,0.46944384599233147,4.480811059414604,0.1726400171794838,0.03427200727153676,139.86091126842658,126.13293912162804,-128.10557223737933,28.476642623892108,128.61146587743949,-54.95603102199888,-0.20235745602405597,0.7817553592427098
0.18,11.86283125,0.49651890142282434,4.543310209097739,0.17254055943270288,0.03437394921130045,139.56106898973604,125.68289720846069,-127.8521537655974,28.229136399064178,128.3810077816278,-54.73215525202241,-0.21154160641216238,0.7912075411832915
0.18599999999999997,12.038227604437498,0.5239528783598357,4.60046428794664,0.17243516770454023,0.03448152278679495,139.2185615157841,125.20964569088945,-127.56091316657064,27.962207114959735,128.11350499988163,-54.48612398739208,-0.2210367333243923,0.7995667489729368
0.192,12.223112192,0.5517139354528252,4.652349654116084,0.17232371841374977,0.034594779569082953,138.83373658397343,124.71320395543913,-127.23210973901402,27.67605766590557,127.80922529853498,-54.218155100081106,-0.23084622380838501,0.8068389736702126
