time_s,height_m,velocity_m_per_s,acceleration_m_per_s2,cable_tension_N,power_W,actuator_work_exact_J
0.0,0.0,0.0,0.0,98.10000000000001,0.0,0.0
0.005,6.203218750000002e-07,0.000371259375,0.14775749999999999,99.577575,0.036969108258515626,6.154274355512698e-05
0.01,4.925300000000001e-06,0.00147015,0.29106,101.01060000000001,0.14850073359000002,0.0004939786351125002
0.015,1.6497590624999996e-05,0.0032745093750000003,0.42995249999999996,102.39952500000001,0.33530820460804694,0.0016720256985473143
0.02,3.880960000000001e-05,0.0057624,0.56448,103.7448,0.59781903552,0.003973248028800001
0.025,7.522460937500001e-05,0.008912109375000001,0.6946875,105.04687500000001,0.9361892395019534,0.007776662647247317
0.03,0.00012899789999999998,0.01270215,0.8206199999999999,106.3062,1.35031729833,0.013461417063112498
0.035,0.00020327787812500004,0.017111259375000003,0.9423225000000001,107.523225,1.8398577918114847,0.02140553583105513
0.04,0.0003011072000000001,0.0221184,1.0598400000000001,108.69839999999999,2.4042346905599996,0.03198473441280002
0.045,0.00042542389687499996,0.027702759375,1.1732174999999998,109.832175,3.0426543156578907,0.045571298668383255
0.05,0.0005790625,0.03384375,1.2825,110.92500000000001,3.75411796875,0.0625330283203125
0.055,0.0007647551656249999,0.04052100937499999,1.3877324999999998,111.97732500000001,4.537434236112421,0.08323224275165668
0.06,0.0009851327999999997,0.0477144,1.4889599999999998,112.98960000000001,5.3912309702400005,0.10802484751679997
0.065,0.0012427261843750003,0.055404009375,1.5862275000000001,113.962275,6.313966952496329,0.13725945996131297
0.07,0.0015399671000000004,0.06357015,1.67958,114.89580000000001,7.3039432403700015,0.17127659236511256
0.075,0.0018791894531249998,0.072193359375,1.7690625,115.790625,8.35931420288086,0.21040789104080201
0.08,0.0022626304000000004,0.0812544,1.85472,116.64720000000001,9.478098247680002,0.25497542983680005
0.085,0.0026924314718750003,0.09073425937500003,1.9365975,117.465975,10.658188243387269,0.3052910565125864
0.09,0.0031706397,0.10061415,2.0147399999999998,118.2474,11.89736164071,0.36165579047111257
0.095,0.003699208740625001,0.110875509375,2.0891925,118.991925,13.193290295886797,0.4243592703511412
0.1,0.004280000000000001,0.12150000000000002,2.1599999999999997,119.7,14.543550000000003,0.4936792500000002
0.105,0.0049147837593749985,0.13246950937499996,2.2272075,120.37207500000001,15.9456297177007,0.5698811413649534
0.11,0.005605240299999999,0.14376615,2.29086,121.0086,17.39694053889,0.6532176028591125
0.115,0.0063529610281250004,0.15537225937500002,2.3510025000000003,121.61002500000001,18.894824346900236,0.743928171775524
0.12,0.0071594495999999985,0.16727039999999999,2.407679999999999,122.1768,20.436562206719998,0.8422389393408
0.125,0.008026123046875,0.179443359375,2.4609375,122.70937500000001,22.01938247680664,0.9483622670173646
0.13,0.008954312900000002,0.19187414999999997,2.5108200000000003,123.2082,23.640468648029998,1.0624965426811128
0.135,0.009945266315625001,0.20454600937500003,2.557372500000001,123.67372500000002,25.29696691329118,1.1848259753190007
0.14,0.011000147200000003,0.21744240000000004,2.60064,124.10640000000001,26.985993471360008,1.3155204269088003
0.145,0.012120037334374998,0.23054700937499997,2.6406674999999997,124.506675,28.704641568475076,1.454735280160969
0.15,0.013305937499999998,0.24384375,2.6775,124.875,30.44998828125,1.6026113408203124
0.155,0.014558768603125001,0.25731675937500004,2.7111825,125.211825,32.219101044429614,1.7592747732428209
0.16,0.015879372800000006,0.27095040000000004,2.7417599999999998,125.5176,34.009043927040004,1.924837067980801
0.165,0.017268514621875,0.28472925937500004,2.7692775000000003,125.792775,35.81688366047602,2.099395040127118
0.17,0.0187268821,0.2986381500000001,2.79378,126.0378,37.63969542207001,2.283030857187113
0.175,0.020255087890624995,0.312662109375,2.8153125,126.253125,39.47456837768554,2.4758120952644345
0.18,0.0218536704,0.3267864,2.8339199999999996,126.4392,41.318610986879996,2.6777918223648003
0.185,0.023523094909374997,0.34099650937500003,2.8496474999999997,126.596475,43.168956074179455,2.88900870763936
0.19,0.025263754700000005,0.35527814999999996,2.86254,126.72540000000001,45.022765670009996,3.109487155407113
0.195,0.027075972178124998,0.36961725937500006,2.8726425,126.826425,46.87723562482899,3.339237462813493
0.2,0.028960000000000003,0.38400000000000006,2.8799999999999994,126.89999999999999,48.729600000000005,3.5782560000000005
0.205,0.030916022196874997,0.398412759375,2.8846575,126.946575,50.577135238955385,3.826525411677446
0.21,0.03294415529999999,0.4128421499999999,2.8866600000000004,126.96660000000001,52.417164122189995,4.084014839013112
0.21132486540518713,0.03349364905389035,0.41666666666666663,2.88675134594813,126.9675134594813,52.9031306081172,4.153782527742199
0.215,0.035044449465624995,0.42727500937499996,2.886052500000001,126.960525,54.24705950962992,4.350680160759844
0.22,0.0372168896,0.4416984,2.8828799999999997,126.92880000000001,56.06424787392,4.6264642525728
0.225,0.03946139648437501,0.45609960937499994,2.8771875,126.871875,57.86621262817382,4.911297263477326
0.23,0.0417778279,0.4704661500000001,2.8690200000000003,126.79020000000001,59.650497251730016,5.205096908469113
0.235,0.044165979753124994,0.484785759375,2.8584224999999996,126.684225,61.41470821745836,5.507768776245539
0.24,0.04662558719999999,0.49904640000000006,2.845439999999999,126.55439999999999,63.156517724160004,5.8192066510848
0.245,0.04915632577187499,0.513236259375,2.8301175,126.40117500000001,64.87366623760477,6.139292847907148
0.25,0.0517578125,0.52734375,2.8125,126.22500000000001,66.56396484375,6.467898559570313
0.255,0.05442960704062502,0.5413575093749999,2.7926325000000007,126.02632500000001,68.2252974176843,6.804884215468831
0.26,0.05717121280000001,0.5552663999999999,2.7705600000000006,125.80560000000003,69.85562261184,7.150099850524801
0.265,0.059982078059375,0.5690595093750002,2.7463274999999996,125.563275,71.45297566701822,7.503385483675268
0.27,0.06286159710000001,0.58272615,2.7199800000000005,125.29980000000002,73.01547004977002,7.864571504979114
0.275,0.06580911132812503,0.5962558593749999,2.691562499999999,125.01562499999999,74.54129891967771,8.233479070484165
0.28,0.06882391040000001,0.6096384,2.6611199999999995,124.71119999999999,76.02873643008,8.609920504012802
0.285,0.07190523334687499,0.6228637593750002,2.6286974999999995,124.386975,77.47613886578416,8.993699705042227
0.29,0.07505226969999998,0.63592215,2.59434,124.04340000000002,78.88194562131001,9.38461256187311
0.295,0.07826416061562501,0.6488040093749999,2.5580925000000003,123.68092500000002,80.24468002320867,9.78244736929819
0.3,0.08153999999999997,0.6615,2.52,123.3,81.56295,10.18698525
0.305,0.084878835634375,0.674001009375,2.480107500000001,122.90107500000002,82.83544860327258,10.598000578924783
0.31,0.0882796703,0.68629815,2.4384599999999996,122.4846,84.06095438349,11.015261409897112
0.315,0.09174146290312499,0.6983827593749999,2.3951024999999984,122.05102499999998,85.23833162404709,11.438529903757757
0.32,0.09526312960000005,0.7102463999999999,2.350079999999999,121.60079999999999,86.36653043711999,11.867562757324805
0.325,0.09884354492187497,0.7218808593750001,2.3034374999999985,121.134375,87.44458672485354,12.30211163249588
0.33,0.1024815429,0.7332781500000001,2.2552200000000004,120.6522,88.47162200943,12.741923584827115
0.335,0.10617591819062502,0.7444305093750001,2.2054724999999986,120.154725,89.44684313556306,13.186741490941927
0.34,0.1099254272,0.7553304000000003,2.1542399999999997,119.64240000000001,90.36954184896004,13.636304474140804
0.345,0.113728789209375,0.765970509375,2.1015675000000016,119.11567500000002,91.23909425429697,14.090348327600674
0.35,0.11758468749999998,0.77634375,2.0475000000000008,118.57500000000002,92.05496015625002,14.548605934570313
0.355,0.12149177047812496,0.7864432593750001,1.9920824999999982,118.02082499999999,92.8166822871265,15.010807684985927
0.36,0.1254486528,0.7962624,1.9353599999999989,117.4536,93.52388542464,15.476681887948802
0.365,0.129453916496875,0.8057947593749999,1.877377500000001,116.87377500000002,94.1762754033729,15.945955179524507
0.37,0.1335061121,0.81503415,1.81818,116.2818,94.77363802347,16.418352925341114
0.375,0.137603759765625,0.823974609375,1.7578125,115.67812500000001,95.31583786010742,16.893599617481232
0.38,0.14174535040000005,0.8326103999999999,1.69632,115.06320000000001,95.80281697727999,17.371419265180805
0.385,0.145929346784375,0.8409360093749999,1.6337475000000015,114.43747500000002,96.23459354945133,17.85153577886494
0.39,0.15015418469999997,0.8489461500000003,1.5701399999999994,113.8014,96.61126039461003,18.333673347069112
0.395,0.15441827405312503,0.8566357593750002,1.505542499999999,113.155425,96.93298342227588,18.817556805811485
0.4,0.15872000000000003,0.8640000000000001,1.4399999999999986,112.5,97.20000000000002,19.302912000000006
0.405,0.163057724071875,0.8710342593750003,1.3735574999999973,111.83557499999998,97.41261724190228,19.789466136475713
0.41,0.16742978529999997,0.8777341500000001,1.30626,111.1626,97.57121022279001,20.27694812831111
0.415,0.171834501340625,0.884095509375,1.238152499999999,110.481525,97.6762201214018,20.765088930000516
0.42,0.17627016959999994,0.8901143999999996,1.1692800000000014,109.79280000000003,97.72815229631999,21.253621863196795
0.425,0.180735068359375,0.8957871093749998,1.0996875000000017,109.09687500000003,97.7275742980957,21.74228293266678
0.43,0.1852274579,0.9011101499999999,1.0294200000000018,108.39420000000003,97.67511382113001,22.230811132155115
0.435,0.189745581628125,0.9060802593750001,0.9585225000000017,107.68522500000003,97.57145659885528,22.718948739864402
0.44,0.19428766719999996,0.9106943999999999,0.8870399999999998,106.97040000000001,97.41734424576,23.206441603276797
