time_s,force_on_mass_N,load_on_stop_N,velocity_m_per_s,displacement_m,kinetic_energy_J
0.0,-0.0,0.0,2.0,0.0,40.0
0.0005,-9.869198534883921,9.869198534883921,1.9998766324816606,0.0009999794385778323,39.99506545146187
0.001,-19.735961992705345,19.735961992705345,1.9995065603657316,0.0019998355147105486,39.98026484945599
0.0015000000000000002,-29.597855897220615,29.597855897220615,1.9988898749619701,0.002999444896390871,39.95560732225481
0.002,-39.452446973675464,39.452446973675464,1.9980267284282716,0.0039986843124796825,39.921108075137816
0.0025,-49.29730374917919,49.29730374917919,1.996917333733128,0.004997430583121346,39.87678837763825
0.0030000000000000005,-59.12999715263421,59.12999715263421,1.99556196460308,0.005995560650136482,39.822675545705046
0.0035000000000000005,-68.94810111407294,68.94810111407294,1.9939609554551798,0.00699295160738473,39.758802918797336
0.004,-78.74919316325438,78.74919316325438,1.992114701314478,0.007989480731090015,39.68520983193272
0.0045000000000000005,-88.53085502737224,88.53085502737224,1.9900236577165575,0.008985025510120783,39.60194158271587
0.005,-98.29067322772771,98.29067322772771,1.9876883405951378,0.009979463676217808,39.509049393378525
0.0055000000000000005,-108.02623967521914,108.02623967521914,1.9851093261547739,0.01097267323416204,39.406590367866606
0.006000000000000001,-117.73515226450208,117.73515226450208,1.9822872507286888,0.01196453249187511,39.294627444015035
0.006500000000000001,-127.41501546667263,127.41501546667263,1.9792228106217657,0.012954920090445025,39.173229340855215
0.007000000000000001,-137.06344092032856,137.06344092032856,1.9759167619387474,0.013943715034069664,39.04247050110505
0.0075,-146.6780480208617,146.6780480208617,1.9723699203976766,0.014930796719910683,38.902431028895364
0.008,-156.25646450783645,156.25646450783645,1.968583161128631,0.015916044967850467,38.75319662279194
0.0085,-165.79632705030954,165.79632705030954,1.964557418457798,0.016899340050144755,38.594858504175676
0.009000000000000001,-175.2952818299467,175.2952818299467,1.960293685676943,0.017880562720963694,38.427513341048936
0.009500000000000001,-184.75098512179193,184.75098512179193,1.95579301479833,0.01885959424581395,38.25126316733941
0.01,-194.16110387254662,194.16110387254662,1.9510565162951536,0.01983631643083466,38.06621529777781
0.0105,-203.52331627621575,203.52331627621575,1.9460853588275453,0.020810611651960027,37.872482238429356
0.011000000000000001,-212.8353123469785,212.8353123469785,1.9408807689542256,0.021782362883941267,37.67018159296346
0.011500000000000002,-222.0947944891428,222.0947944891428,1.9354440308298673,0.022751453729220855,37.459435964749645
0.012000000000000002,-231.29947806404257,231.29947806404257,1.9297764858882513,0.023717768446651872,37.24037285487208
0.0125,-240.44709195373846,240.44709195373846,1.9238795325112867,0.02468119198005541,37.01312455615847
0.013000000000000001,-249.53537912138185,249.53537912138185,1.917754625683981,0.025641609986608957,36.77782804332306
0.013500000000000002,-258.5620971681051,258.5620971681051,1.9114032766354452,0.026598908865058783,36.53462485932716
0.014000000000000002,-267.52501888629973,267.52501888629973,1.9048270524660196,0.027552975783749333,36.283660998063844
0.014500000000000002,-276.421932809147,276.421932809147,1.8980275757606155,0.028503698708462772,36.02508678347719
0.015,-285.25064375626374,285.25064375626374,1.8910065241883678,0.029450966430061738,35.75905674522972
0.0155,-294.0089733753307,294.0089733753307,1.8837656300886936,0.03039466859192854,35.485729491034526
0.016,-302.694760679568,302.694760679568,1.8763066800438635,0.031334695717194,35.205267575772254
0.0165,-311.3058625809265,311.3058625809265,1.8686315144381913,0.03227093923574921,34.91783736751569
0.017,-319.84015441886277,319.84015441886277,1.8607420270039436,0.03320329151103364,34.62360891058745
0.0175,-328.2955304845671,328.2955304845671,1.8526401643540922,0.034131645866592765,34.32275578577958
0.018000000000000002,-336.669904540516,336.669904540516,1.844327925502015,0.03505589661239898,34.015454967865665
0.018500000000000003,-344.96121033521933,344.96121033521933,1.8358073613682704,0.03597593907092894,33.70188668053932
0.019000000000000003,-353.1674021130378,353.1674021130378,1.8270805742745617,0.03689166960299123,33.38223424891462
0.019500000000000003,-361.28645511894223,361.28645511894223,1.8181497174250234,0.037802985633297786,33.056683949726924
0.02,-369.3163660980913,369.3163660980913,1.8090169943749475,0.03870978567577278,32.72542485937369
0.020500000000000004,-377.2551537901051,377.2551537901051,1.7996846584870905,0.03961196935859282,32.38864869993796
0.021,-385.1008594179112,385.1008594179112,1.7901550123756904,0.04050943744895215,32.046549683338085
0.0215,-392.8515471710437,392.8515471710437,1.78043040733833,0.041402091877546926,31.699324353749315
0.022000000000000002,-400.5053046832757,400.5053046832757,1.7705132427757893,0.042289835762772315,31.34717142844441
0.0225,-408.0602435044667,408.0602435044667,1.760405965600031,0.04317257343462658,30.99029163720178
0.023000000000000003,-415.51449956650947,415.51449956650947,1.7501110696304596,0.0440502104583162,30.628887560430712
0.0235,-422.866233643261,422.866233643261,1.7396310949786098,0.04492265365755628,30.26316346616477
0.024000000000000004,-430.11363180434444,430.11363180434444,1.7289686274214116,0.04578981113756042,29.893325146074798
0.0245,-437.2549058627085,437.2549058627085,1.718126297763189,0.046651592307714304,29.519579750654422
0.025,-444.2882938158365,444.2882938158365,1.7071067811865475,0.04750790790392765,29.14213562373095
0.025500000000000002,-451.2120602804939,451.2120602804939,1.6959127965923144,0.04835867001065876,28.76120213645565
0.026000000000000002,-458.02449692090823,458.02449692090823,1.6845471059286887,0.04920379208260636,28.376989520927207
0.026500000000000003,-464.7239228702749,464.7239228702749,1.6730125135097733,0.05004318896606338,27.989708703602894
0.027000000000000003,-471.30868514548666,471.30868514548666,1.6613118653236518,0.05087677691992731,27.599571138651516
0.0275,-477.7771590549819,477.7771590549819,1.6494480483301839,0.05170447363636213,27.206788641402525
0.028000000000000004,-484.1277485996136,484.1277485996136,1.6374239897486897,0.0525261982611065,26.81157322204517
0.0285,-490.3588868664372,490.3588868664372,1.6252426563357052,0.05334187141342331,26.41413691973139
0.029000000000000005,-496.4690364153241,496.4690364153241,1.6129070536529766,0.05415141520568578,26.01469163723526
0.029500000000000002,-502.45668965830123,502.45668965830123,1.600420225325884,0.054954753262594934,25.613448976321532
0.03,-508.32036923152583,508.32036923152583,1.5877852522924734,0.055751810740024194,25.210620073974734
0.030500000000000003,-514.0586283598037,514.0586283598037,1.5750052520432787,0.05654251434348598,24.80641543963912
0.031,-519.6700512135579,519.6700512135579,1.5620833778521308,0.057326792346216,24.401044793619228
0.0315,-525.1532532581654,525.1532532581654,1.5490228179981318,0.05810457460687085,23.99471690678873
0.032,-530.5068815955681,530.5068815955681,1.5358267949789965,0.05887579258683425,23.58763944175457
0.0325,-535.7296152980819,535.7296152980819,1.5224985647159488,0.05964037936712797,23.180018795621244
0.033,-540.8201657343152,540.8201657343152,1.5090414157503713,0.06039826966492305,22.77205994449885
0.0335,-545.7772768871196,545.7772768871196,1.4954586684324076,0.06114939984964744,22.363966289896297
0.034,-550.5997256634926,550.5997256634926,1.4817536741017152,0.061893707958685776,21.95593950713932
0.0345,-555.2863221963587,555.2863221963587,1.4679298142605735,0.0626311337126678,21.548179395950818
0.035,-559.8359101381506,559.8359101381506,1.4539904997395467,0.06336161853034143,21.140883733328568
0.035500000000000004,-564.2473669461202,564.2473669461202,1.439939169855915,0.06408510554302671,20.734248128853416
0.036000000000000004,-568.5196041593106,568.5196041593106,1.4257792915650727,0.06480153960864735,20.328465882558007
0.036500000000000005,-572.6515676671161,572.6515676671161,1.4115143586051087,0.06551086732533626,19.92372784548391
0.037000000000000005,-576.642237969369,576.642237969369,1.3971478906347805,0.06621303704461155,19.520222283052167
0.0375,-580.4906304278861,580.4906304278861,1.3826834323650898,0.06690799888412013,19.118134741369058
0.038000000000000006,-584.1957955094128,584.1957955094128,1.368124552684678,0.06759570473994542,18.7176479165865
0.0385,-587.7568190199069,587.7568190199069,1.3534748437792574,0.06827610829847613,18.31894152743285
0.03900000000000001,-591.172822330102,591.172822330102,1.3387379202452911,0.0689491650478337,17.922192191026877
0.0395,-594.4429625922959,594.4429625922959,1.3239174181981497,0.06961483228885468,17.52757330208454
0.04,-597.5664329483111,597.5664329483111,1.3090169943749475,0.07027306914562628,17.135254915624213
