time_s,position_m,velocity_m_per_s,acceleration_m_per_s2
0.0,0.0,0.0,0.0
0.005,6.203218750000002e-07,0.000371259375,0.14775749999999999
0.01,4.925300000000001e-06,0.00147015,0.29106
0.015,1.6497590624999996e-05,0.0032745093750000003,0.42995249999999996
0.02,3.880960000000001e-05,0.0057624,0.56448
0.025,7.522460937500001e-05,0.008912109375000001,0.6946875
0.03,0.00012899789999999998,0.01270215,0.8206199999999999
0.035,0.00020327787812500004,0.017111259375000003,0.9423225000000001
0.04,0.0003011072000000001,0.0221184,1.0598400000000001
0.045,0.00042542389687499996,0.027702759375,1.1732174999999998
0.05,0.0005790625,0.03384375,1.2825
0.055,0.0007647551656249999,0.04052100937499999,1.3877324999999998
0.06,0.0009851327999999997,0.0477144,1.4889599999999998
0.065,0.0012427261843750003,0.055404009375,1.5862275000000001
0.07,0.0015399671000000004,0.06357015,1.67958
0.075,0.0018791894531249998,0.072193359375,1.7690625
0.08,0.0022626304000000004,0.0812544,1.85472
0.085,0.0026924314718750003,0.09073425937500003,1.9365975
0.09,0.0031706397,0.10061415,2.0147399999999998
0.095,0.003699208740625001,0.110875509375,2.0891925
0.1,0.004280000000000001,0.12150000000000002,2.1599999999999997
0.105,0.0049147837593749985,0.13246950937499996,2.2272075
0.11,0.005605240299999999,0.14376615,2.29086
0.115,0.0063529610281250004,0.15537225937500002,2.3510025000000003
0.12,0.0071594495999999985,0.16727039999999999,2.407679999999999
0.125,0.008026123046875,0.179443359375,2.4609375
0.13,0.008954312900000002,0.19187414999999997,2.5108200000000003
0.135,0.009945266315625001,0.20454600937500003,2.557372500000001
0.14,0.011000147200000003,0.21744240000000004,2.60064
0.145,0.012120037334374998,0.23054700937499997,2.6406674999999997
0.15,0.013305937499999998,0.24384375,2.6775
0.155,0.014558768603125001,0.25731675937500004,2.7111825
0.16,0.015879372800000006,0.27095040000000004,2.7417599999999998
0.165,0.017268514621875,0.28472925937500004,2.7692775000000003
0.17,0.0187268821,0.2986381500000001,2.79378
0.175,0.020255087890624995,0.312662109375,2.8153125
0.18,0.0218536704,0.3267864,2.8339199999999996
0.185,0.023523094909374997,0.34099650937500003,2.8496474999999997
0.19,0.025263754700000005,0.35527814999999996,2.86254
0.195,0.027075972178124998,0.36961725937500006,2.8726425
0.2,0.028960000000000003,0.38400000000000006,2.8799999999999994
0.205,0.030916022196874997,0.398412759375,2.8846575
0.21,0.03294415529999999,0.4128421499999999,2.8866600000000004
0.21132486540518713,0.03349364905389035,0.41666666666666663,2.88675134594813
0.215,0.035044449465624995,0.42727500937499996,2.886052500000001
0.22,0.0372168896,0.4416984,2.8828799999999997
0.225,0.03946139648437501,0.45609960937499994,2.8771875
0.23,0.0417778279,0.4704661500000001,2.8690200000000003
0.235,0.044165979753124994,0.484785759375,2.8584224999999996
0.24,0.04662558719999999,0.49904640000000006,2.845439999999999
0.245,0.04915632577187499,0.513236259375,2.8301175
0.25,0.0517578125,0.52734375,2.8125
0.255,0.05442960704062502,0.5413575093749999,2.7926325000000007
0.26,0.05717121280000001,0.5552663999999999,2.7705600000000006
0.265,0.059982078059375,0.5690595093750002,2.7463274999999996
0.27,0.06286159710000001,0.58272615,2.7199800000000005
0.275,0.06580911132812503,0.5962558593749999,2.691562499999999
0.28,0.06882391040000001,0.6096384,2.6611199999999995
0.285,0.07190523334687499,0.6228637593750002,2.6286974999999995
0.29,0.07505226969999998,0.63592215,2.59434
0.295,0.07826416061562501,0.6488040093749999,2.5580925000000003
0.3,0.08153999999999997,0.6615,2.52
0.305,0.084878835634375,0.674001009375,2.480107500000001
0.31,0.0882796703,0.68629815,2.4384599999999996
0.315,0.09174146290312499,0.6983827593749999,2.3951024999999984
0.32,0.09526312960000005,0.7102463999999999,2.350079999999999
0.325,0.09884354492187497,0.7218808593750001,2.3034374999999985
0.33,0.1024815429,0.7332781500000001,2.2552200000000004
0.335,0.10617591819062502,0.7444305093750001,2.2054724999999986
0.34,0.1099254272,0.7553304000000003,2.1542399999999997
