time_s,displacement_m,velocity_m_per_s
0.0,0.0,0.0
0.01,5.253107267736847e-05,0.010506214535473695
0.02,0.0002101242907094739,0.02101242907094739
0.03,0.0004727796540963163,0.031518643606421086
0.04,0.0008404971628378956,0.04202485814189478
0.05,0.001313276816934212,0.05253107267736848
0.06,0.001891118616385265,0.06303728721284217
0.07,0.0025740225611910555,0.07354350174831586
0.08,0.0033619886513515823,0.08404971628378956
0.09,0.004255016886866846,0.09455593081926325
0.1,0.005253107267736848,0.10506214535473696
0.11,0.006356259793961585,0.11556835989021064
0.12,0.00756447446554106,0.12607457442568434
0.13,0.008877751282475272,0.13658078896115802
0.14,0.010296090244764222,0.14708700349663173
0.15,0.011819491352407905,0.1575932180321054
0.16,0.013447954605406329,0.16809943256757912
0.17,0.015181480003759492,0.17860564710305282
0.18,0.017020067547467384,0.1891118616385265
0.19,0.01896371723653002,0.1996180761740002
0.2,0.021012429070947393,0.21012429070947392
0.21,0.023166203050719494,0.22063050524494757
0.22,0.02542503917584634,0.23113671978042127
0.23,0.027788937446327926,0.24164293431589498
0.24,0.03025789786216424,0.2521491488513687
0.25,0.032831920423355296,0.26265536338684237
0.26,0.03551100512990109,0.27316157792231605
0.27,0.038295151981801626,0.2836677924577898
0.28,0.04118436097905689,0.29417400699326346
0.29,0.04417863212166688,0.30468022152873714
0.3,0.04727796540963162,0.3151864360642108
0.31,0.05048236084295111,0.32569265059968455
0.32,0.053791818421625316,0.33619886513515823
0.33,0.057206338145654276,0.34670507967063197
0.34,0.06072592001503797,0.35721129420610565
0.35,0.06435056402977637,0.36771750874157927
0.36,0.06808027018986954,0.378223723277053
0.37,0.07191503849531744,0.3887299378125267
0.38,0.07585486894612008,0.3992361523480004
0.39,0.07989976154227744,0.4097423668834741
0.4,0.08404971628378957,0.42024858141894783
0.41,0.08830473317065639,0.43075479595442145
0.42,0.09266481220287798,0.44126101048989513
0.43,0.09712995338045431,0.45176722502536887
0.44,0.10170015670338536,0.46227343956084255
0.45,0.10637542217167116,0.4727796540963163
0.46,0.1111557497853117,0.48328586863178996
0.47,0.11604113954430695,0.49379208316726364
0.48,0.12103159144865697,0.5042982977027374
0.49,0.1261271054983617,0.514804512238211
0.5,0.13132768169342118,0.5253107267736847
0.51,0.1366333200338354,0.5358169413091585
0.52,0.14204402051960435,0.5463231558446321
0.53,0.14755978315072804,0.5568293703801058
0.54,0.1531806079272065,0.5673355849155796
0.55,0.15890649484903968,0.5778417994510533
0.56,0.16473744391622755,0.5883480139865269
0.57,0.17067345512877014,0.5988542285220005
0.58,0.17671452848666752,0.6093604430574743
0.59,0.18286066398991963,0.6198666575929479
0.6,0.18911186163852647,0.6303728721284216
0.61,0.1954681214324881,0.6408790866638954
0.62,0.20192944337180443,0.6513853011993691
0.63,0.20849582745647546,0.6618915157348427
0.64,0.21516727368650126,0.6723977302703165
0.65,0.2219437820618818,0.6829039448057902
0.66,0.2288253525826171,0.6934101593412639
0.67,0.23581198524870708,0.7039163738767376
0.68,0.24290368006015187,0.7144225884122113
0.69,0.2501004370169513,0.7249288029476849
0.7,0.2574022561191055,0.7354350174831585
0.71,0.26480913736661443,0.7459412320186323
0.72,0.27232108075947814,0.756447446554106
0.73,0.2799380862976966,0.7669536610895797
0.74,0.28766015398126976,0.7774598756250534
0.75,0.2954872838101977,0.7879660901605271
0.76,0.3034194757844803,0.7984723046960008
0.77,0.31145672990411766,0.8089785192314745
0.78,0.3195990461691098,0.8194847337669482
0.79,0.3278464245794567,0.8299909483024219
0.8,0.3361988651351583,0.8404971628378957
0.81,0.34465636783621456,0.8510033773733693
0.82,0.35321893268262555,0.8615095919088429
0.83,0.3618865596743914,0.8720158064443166
0.84,0.3706592488115119,0.8825220209797903
0.85,0.37953700009398716,0.893028235515264
0.86,0.38851981352181725,0.9035344500507377
0.87,0.397607689095002,0.9140406645862115
0.88,0.40680062681354145,0.9245468791216851
0.89,0.4160986266774357,0.9350530936571588
0.9,0.42550168868668464,0.9455593081926326
0.91,0.43500981284128837,0.9560655227281063
0.92,0.4446229991412468,0.9665717372635799
0.93,0.45434124758655997,0.9770779517990537
0.94,0.4641645581772278,0.9875841663345273
0.95,0.4740929309132504,0.9980903808700009
0.96,0.48412636579462787,1.0085965954054747
0.97,0.4942648628213599,1.0191028099409483
0.98,0.5045084219934468,1.029609024476422
0.99,0.5148570433108883,1.0401152390118957
1.0,0.5253107267736847,1.0506214535473695
1.01,0.5358694723818358,1.0611276680828432
1.02,0.5465332801353416,1.071633882618317
1.03,0.5573021500342022,1.0821400971537907
1.04,0.5681760820784174,1.0926463116892642
1.05,0.5791550762679875,1.103152526224738
1.06,0.5902391326029122,1.1136587407602117
1.07,0.6014282510831918,1.1241649552956854
1.08,0.612722431708826,1.1346711698311591
1.09,0.6241216744798149,1.1451773843666329
1.1,0.6356259793961587,1.1556835989021066
1.11,0.647235346457857,1.16618981343758
1.12,0.6589497756649102,1.1766960279730538
1.13,0.6707692670173179,1.1872022425085274
1.14,0.6826938205150805,1.197708457044001
1.15,0.694723436158198,1.2082146715794748
1.16,0.7068581139466701,1.2187208861149486
1.17,0.719097853880497,1.2292271006504223
1.18,0.7314426559596785,1.2397333151858958
1.19,0.7438925201842148,1.2502395297213695
1.2,0.7564474465541059,1.2607457442568433
1.21,0.7691074350693518,1.271251958792317
1.22,0.7818724857299524,1.2817581733277907
1.23,0.7947425985359077,1.2922643878632645
1.24,0.8077177734872177,1.3027706023987382
1.25,0.8207980105838825,1.313276816934212
1.26,0.8339833098259019,1.3237830314696855
1.27,0.8472736712132761,1.3342892460051592
1.28,0.8606690947460051,1.344795460540633
1.29,0.8741695804240888,1.3553016750761067
1.3,0.8877751282475272,1.3658078896115804
1.31,0.9014857382163205,1.3763141041470541
1.32,0.9153014103304684,1.3868203186825279
1.33,0.929222144589971,1.3973265332180014
1.34,0.9432479409948283,1.4078327477534751
1.35,0.9573787995450406,1.4183389622889488
1.36,0.9716147202406075,1.4288451768244226
1.37,0.985955703081529,1.4393513913598963
1.38,1.0004017480678051,1.4498576058953698
1.39,1.0149528551994362,1.4603638204308436
1.4,1.029609024476422,1.470870034966317
1.41,1.0443702558987624,1.4813762495017908
1.42,1.0592365494664577,1.4918824640372645
1.43,1.074207905179508,1.5023886785727383
1.44,1.0892843230379126,1.512894893108212
1.45,1.104465803041672,1.5234011076436857
1.46,1.1197523451907865,1.5339073221791595
1.47,1.1351439494852553,1.544413536714633
1.48,1.150640615925079,1.5549197512501067
1.49,1.1662423445102574,1.5654259657855805
1.5,1.1819491352407907,1.5759321803210542
1.51,1.1977609881166786,1.586438394856528
1.52,1.2136779031379212,1.5969446093920017
1.53,1.2296998803045187,1.6074508239274754
1.54,1.2458269196164706,1.617957038462949
1.55,1.2620590210737777,1.6284632529984227
1.56,1.2783961846764391,1.6389694675338964
1.57,1.2948384104244557,1.6494756820693701
1.58,1.3113856983178267,1.6599818966048439
1.59,1.3280380483565526,1.6704881111403176
1.6,1.3447954605406331,1.6809943256757913
1.61,1.3616579348700684,1.6915005402112648
1.62,1.3786254713448582,1.7020067547467386
1.63,1.3956980699650028,1.712512969282212
1.64,1.4128757307305022,1.7230191838176858
1.65,1.4301584536413565,1.7335253983531596
1.66,1.4475462386975655,1.7440316128886333
1.67,1.4650390858991293,1.754537827424107
1.68,1.4826369952460476,1.7650440419595805
1.69,1.5003399667383208,1.7755502564950543
1.7,1.5181480003759487,1.786056471030528
1.71,1.5360610961589314,1.7965626855660017
1.72,1.554079254087269,1.8070689001014755
1.73,1.572202474160961,1.8175751146369492
1.74,1.590430756380008,1.828081329172423
1.75,1.6087641007444093,1.8385875437078965
1.76,1.6272025072541658,1.8490937582433702
1.77,1.645745975909277,1.859599972778844
1.78,1.6643945067097428,1.8701061873143177
1.79,1.6831480996555632,1.8806124018497914
1.8,1.7020067547467386,1.8911186163852651
1.81,1.7209704719832688,1.9016248309207389
1.82,1.7400392513651535,1.9121310454562126
1.83,1.7592130928923928,1.922637259991686
1.84,1.7784919965649872,1.9331434745271598
1.85,1.7978759623829361,1.9436496890626336
1.86,1.8173649903462399,1.9541559035981073
1.87,1.8369590804548983,1.964662118133581
1.88,1.8566582327089112,1.9751683326690546
1.89,1.8764624471082791,1.9856745472045283
1.9,1.8963717236530016,1.9961807617400018
1.91,1.9163860623430793,2.0066869762754758
1.92,1.9365054631785115,2.0171931908109495
1.93,1.9567299261592979,2.027699405346423
1.94,1.9770594512854396,2.0382056198818965
1.95,1.997494038556936,2.0487118344173703
1.96,2.0180336879737872,2.059218048952844
1.97,2.0386783995359927,2.0697242634883177
1.98,2.0594281732435533,2.0802304780237915
1.99,2.080283009096469,2.090736692559265
2.0,2.101242907094739,2.101242907094739
